txt,label
เริ่มเปิดรับสมัครอนุบาล1 วันที่1ธ.ค64นี้ใช่มัยค่ะ ทางออนไลไหมค่ะ,4  
สมัครอนุบาลทางออนไลน์ไปแล้วค่ะ ให้ทำไงต่ออีกค่ะ,4  
"มีเบอร์ที่สามารถติดต่อได้ไหมค่ะอยากมั่นใจว่าการสมัครไม่ตกหล่น
 ค่ะ",4  
ที่รับสมัครตอนนี้ คือ แผนการเรียนบูราการใช่มั้ยครับ,4  
เตรียมอบุบาลห้องล่ะกี่คนค่ะ แล้วน้องเรียนเลิกกี่โมงค่ะ,3  
สำหรับ ผปค ที่ยังไม่ได้จ่ายเทอม 1 ต้องจ่ายเท่าไรเหรอคะ,4  
"ขออนุญาตสอบถามค่ะ เห็ดที่นักเรียนโครงการ สสวท. วิจัย มีจัด
 ขายไหมค่ะ",0  
ปิดปลายภาควันที่เท่าไรค่ะ,1  
ฝนตกหนัก รถเข้ารับเด็กในร.ร. ได้ไหม,2  
วันสอบยังเหมือนเดิมมั้ยคะ,1  
สนามสอบมีแจ้งหรือยังคะ,1  
ทำไมปีนี้ไม่เปิดรับนักเรียนป.1ค่ะ,4  
ป.6ค่าเทอม ประมาณเท่าไรค่ะ,4  
EP/SM ภาคปกติ ราคาค่าเทอมเท่าไรค่ะ,1  
เปิดรับสมัครป.1 2565เมื่อไรคะ,4  
ไม่ทราบว่ารับสมัครครูปฐมวัยมั้ยคะ,4  
อยากทราบค่าเทอมอนุบาล EP คะ,1  
อนุบาล1ค่าเทอมเท่าไหร่ครับ,4  
สอบปลายภาคม.ปลายวันที่เท่าไรค่ะ,1  
รับสมัคร อนุบาล 1 ต้องมีอายุเท่าไหร่คะ,4  
ชำระเกินไปแล้วต้องทำอย่างไรคะ,4  
สอบถามเรื่องคืนค่าเทอมค่ะ,4  
ป4 eng cpw คืนค่าเทอมเท่าไรคะ,4  
วันอาทิตย์โรงเรียนเปิดไหมครับ,3  
ป.1ทางโรงเรียนเปิดรับวันใหนค่ะ,4  
ขอสอบถามค่ะ แผนก ITP เรียนตึกไหนคะ,2  
การสอบนี้ร.ร.ไม่ได้บังคับนักเรียน EP หรือคะ,1  
สระว่ายน้ำสามารถเข้าไปใช้งานได้หรือยังครับ,5  
ยังมีตรวจสุขภาพประจำปีของนักเรียนอยู่มั้ยคะ,0  
วันพรุ่งนี้โรงเรียนหยุดไหมคะ,3  
ผลการเรียนของน้องอนุบาลดูได้ที่ไหนหรอค่ะ,1  
แอปโรงเรียนเกิดปัญหาอะไรหรือป่าวครับ,5  
ขอเบอร์โทรติดต่อหน่อยฝั่งอนุบาลหน่อยคะ,0  
ดูเกรดเฉลี่ยยังไงค่ะ,1  
สมัครเรียนออนไลน์หรือต้องไปที่ รร หรอครับปีนี้,4  
สามารถสอบถามรายละเอียดได้ช่องไหนบ้างคะ,0  
ภาษาจีนเริ่มเรียนชั้นไหนค่ะ,1  
หลักสูตรการบินรับสมัครนักเรียนชั้นไหนคะ,1  
"เมื่อวันศุกร์ที่แล้วลูกบอกต้มจืดได้เต้าหู้สองชิ้นกับเศษๆหมู 
 คืออะไรค่ะ",2  
วันเสาร์ที่ 28 ถ้าไปจ่ายค่าเทอมต้องไปจ่ายตึกไหนค่ะ  4  
เข้าไปจ่ายค่าเทอมก่อนได้มั้ยคะ​ ไม่ถนัดกับการโอน,4  
ถ้าชำระผ่าน mobile banking จะได้รับใบเสร็จอย่างไร เมื่อไหร่คะ,4  
เครื่องแบบอนุบาลตอนนี้หาซื้อได้ที่ไหนเหรอคะ,2  
ประตู 7 เปิดไหมครับ ผมเข้ามาทางนี้ไม่ได้,3  
เตรียม อนุบาลเต็มยังคะ,4  
เกรดของเด็กป.4 ประกาศยังค่ะ,1  
เกรดประกาศยังคะ,1  
ม.3 ประกาศเกรดเมื่อไหร่ครับ,1  
โหลด QR code ไม่ได้ต้องทำยังไงครับ,5  
ผลการเรียนเทอม1ประถม.6.จะประกาศเมื่อไรคะ,1  
ม.1 เปิดรับเมื่อไรค่ะ,4  
รับสมัครประถมศึกษา​ปีที่1ช่วงใหนค่ะ,4  
รับสมัคประถมศึกษา​ปีที่1ช่วงใหนค่ะ,4  
รับสมัคประถมศึกษา​ปีที่1ช่วงไหนค่ะ,4  
อ.1ค่าเทอมเท่ารัยคะ,4  
ป.1 ห้องปกติเปิดรับมัยค่ะ,4  
เรียนออนไลน์รึคะ,3  
เรียนออนไลน์หรือคะ,3  
เรียนออนไลน์หรอคะ,3  
ป.1 ห้องปกติ เปิดรับสมัครหรือยังคะ,4  
เตรียมอนุบาลรับกี่ขวบคะ,4  
ทำไมประกาศผลสอบช้าจังค่ะ,1  
โครงการ EP ร่วมด้วยไหมครับ,1  
จ่ายบัตรเครดิตมีค่าธรรมเนียมไหมคะ,4  
ระดับมัธยมใช้ตารางสอนเดิมเหมือนกันใช่ไหมค่ะ,1  
ตารางเรียนของEP หล่ะคะ,1  
ไปจ่ายที่ห้องการเงินวันทื่1 ธ.ค ได้มั๊ยคะ,4  
ขับรถเข้าไปจ่ายได้เลยใช่มั๊ยคะ,2  
วันอาทิตย์สหกรณ์โรงเรียนเปิดไหมครับ,3  
What time does your school start?,4  
What time do you eat lunch?,4  
How many subjects do you learn in one day?,1  
How many students are there in your class?,3  
How many students are there in your school?,3  
How many buildings are there in your school?,2  
What time does your school finish?,4  
What is your principal’s name?,4  
Is your school big?,4  
How long is your lesson?,1  
สหกรณ์โรงเรียนเปิดไหมค่ะในช่วงนี้,3  
มีแผนจะให้ผู้ปกครองเอารถเข้าไปส่งในโรงเรียนได้เมื่อไหร่คะ,2  
ทางเข้าออก รร ยังใช้รูปแบบเดิมไม๊ค่ะ,2  
ค่าประกันอุบัติเหตุ ส่วนนี้ หายไปไหนค่ะ,4  
กิจกรรมดนตรีต้านยาเสพติด คนนอกเข้ามารับชมได่ไหมคะ,3  
กิจกรรมดนตรีต้านยาเสพติด คนนอกเข้ามารับชมได้ไหมคะ,3  
สอบถามรายละเอียดติว TGAT หน่อยได้ไหมคะ,1  
"ย้ายเข้าตอนป.3 ต้องมีหลักฐานอะไรบ้างค่ะ ต้องซื้อใบสมัครรึ
 เปล่าค่ะ",4  
"ย้ายเข้าตอนป.3 ต้องมีหลักฐานอะไรบ้างค่ะ ต้องซื้อใบสมัครหรือ
 เปล่าค่ะ",4  
"Esmp ของม.1 มอบตัววัน7 ธค. หมายถึงต้องชำระค่าเล่าเรียน
 ล่วงหน้าทั้งหมดเลยใช่ไหมครับ ในกรณีถ้าผู้ปกครองไม่ว่างติด
 ภาระกิจ อนุโลมให้ขยับเวลาได้ไหมครับ ผมเป็นศิษย์เก่า ชปว. 
 ลูกคนเล็กกำลังขึ้นม.1. คนโตขึ้นม.4 เรียน ESMP อยู่ครับ 
 (ถามเผื่อทั้งสองคนเลยครับ)",1  
ขอรายละเอียด รีวิวอะไรเกี่ยวกับการรับนักเรียนอนุบาลหน่อยได้ไหมคะ,4  
"ขอรายละเอียดเข้าศึกษาต่อ ชั้น ม.1 ภาคเรียนปกติ ของ นร.ภายนอก
 ด้วยครับ (เห็นมีแต่โครงการEP ไม่มีภาคปกติ)",4  
"ถ้าจะเข้าไปติดต่อขอรับใบเรียนจบของ ป.6 ไปติดต่อได้เลยหรือเปล่า 
 และเป็นวันเสาร์ที่มีการเปิดเรียนปกติได้ไหมค่ะ",3  
ใบสมัครสอบซื้อที่ไหนครับ??,4  
อยากเอาหลานที่อยู่ต่างจังหวัดมาเรียน ป1 ต้องทำอย่างไรบ้างคะแนน,4  
นักเรียนใหม่ ม.1 มีแค่ภาค EP หรอค่ะ,1  
"ม4 ห้องเรียนภาษาอังกฤษ คณิต วิทย์ฯ เรียนเน้นอะไร เป็นห้อง
 สายวิทย์ใช่ไหม",1  
ป.4 ข้างนอกไม่ได้เปิดรับเลยใช่มั้ยคะ,4  
สอบถามคะ..สมัครเข้า ป.4 รบกวนขอลิ้งรายละเอียดได้มั้ยคะ,4  
"สอบถามคะ..อยากย้ายลูกจากต่างจังหวัด สมัครเข้า ป.4 โรงเรียนเปิด
 รับหรือเปล่าคะ",4  
"รบกวนสอบถามค่ะ ป. English program กับ Gifted English ต่างกัน
 อย่างไรคะ",1  
สอบถามอนุบาล1รับกี่ขวบ และจะสมัครได้วันไหน,4  
ขอย้ายเข้าตอนป.3 ต้องทำยังไงบ้างครับ,4  
ม1 ภาคปกติ (นักเรียนภายนอก) มีจัดสอบหรือเปล่าคะ,4  
ปิดรับสมัครนักเรียนเมื่อไหร่ครับ,4  
ราคาใบสมัครสสวทกับepกี่บาทคะ,1  
โรงเรียนร ชปว. ไม่มี esmp เหรอค่ะ,1  
"สอบถามครับ​ นักเรียนภายนอก​จบป.6 จะเข้าชั้นมัธยมปีที่1​ มีเฉพาะ
 ห้องEP เหรอครับ",1  
เด็ก ประถม ทานถึง ป ไหนครับถึงซื้อทานเอง,2  
รับสมัครเด็ก อ.2 เมื่อไหร่คะ,4  
สอบถามหน่อยค่ะ ทำไมยังไม่เห็นได้ข่าวประกาศของโครงการ ITP เลยคะ,1  
"น้องเกิดตุลา 63 ต้องสมัครปีไหนคะ ต้องโทรไปจองสิทธิ์ตั้งแต่เมื่อไหร่คะ 
 ขอบคุณค่ะ",4  
"สอบถามค่ะ ถ้าน้องเรียน อนุบาล 1 มาแล้ว จะเข้าอนุบาล 2 สามารถ
 เข้าได้ไหมคะ",4  
ศิษย์เก่าสามารถเข้าโรงเรียนได้ไหมคะ,3  
ขอสอบถามรายละเอียดการรับสมัครครูหน่อยครับ,4  
"ขออนุญาตสอบถามครับ เห็นลูกผมบอกว่าอาหารอิสลามเป็นเมนูเดียวกัน
 กับอาหารทั่วไปเลยอะครับ มีการเปลี่ยนวัตถุดิบบ้างไหมครับ",2  
โอนคืนค่าเทอมตอนไหนคะ,4  
สวัสดีครับ ขอสอบถามหน่อยนะครับว่าวันเปิดเทอมคือวันที่เท่าไรหรอครับ,3  
"ขอสอบถามหน่อยนะคะ วันเปิดเทอมวันแรกจะต้องเตรียมอะไรไปในห้อง
 เรียนบ้างหรอคะ",0  
"สวัสดีครับ ผมชื่อ ด.ช.ณัฐพงศ์ พงศ์เจริญ ผมทำบัตรนักเรียนหัก ต้องทำ
 ยังไงดีครับ",5  
"สวัสดีครับผมขอสอบถามหน่อยนะครับ วันแรกของการเปิดภาคเรียนนี่นัก
 เรียนชายยังต้องตัดผมเกรียนมาเรียนอยู่อีกมั้ยครับ",3  
"เงิน 2,000 เข้าที่ไหนอย่างไรไม่ทราบเรื่องเลยครับ",4  
ดิฉันขอสอบถามหน่อยนะคะ วันเปิดเทอมวันแรกร้านสหกรณ์เปิดมั้ยคะ?,2  
สามารถจ่ายค่าเทอมแบบออนไลน์ได้มั้ยครับ,4  
"ขอสอบถามหน่อยค่ะ ปักชื่อย่อของโรงเรียนนี้ต้องปักด้านซ้ายหรือด้าน
 ขวาของเสื้อหรอคะ",3  
ขอสอบถามหน่อยครับ....,0  
"พอดีว่าลูกผมเขากลัวครูปกครองคนนึงอยู่น่ะครับ พอจะช่วยบอกครูคนนั้น
 ให้ลดความดุลงจะได้มั้ยครับ",3  
สวัสดีค่ะ ไม่ทราบว่าทางโรงเรียนจะมีขายชุดนักเรียนวันไหนหรอคะ,3  
"ขอสอบถามเกี่ยวกับกิจกรรมประชุมผู้ปกครองในวันเปิดภาคเรียนหน่อย
 นะคะ คือช่วงนี้พ่อแม่หนูไปต่างประเทศกันหมด เหลือแต่พี่ชายของหนู 
 คือวันประชุมสามารถให้พี่ชายไปเป็นผู้ปกครองของหนูได้มั้ยคะ",3  
"สวัสดีงับ ผมขอสอบถามเกี่ยวกับการย้ายแผนการเรียนหน่อยงับว่าผมควร
 จะทำยังไง",4  
"สวัสดีครับ อยากทราบว่าผมจะทำขอทำเรื่องจ่ายค่าเทอมล่าช้าได้ยังไง
 บ้างหรอครับ",4  
แล้วจะรู้ได้ยังไงว่าทางโรงเรียนได้รับเงินยอดที่โอนหรือยังอ่ะคะ,4  
"สวัสดีค่ะ พอดีช่วงอาทิตย์แรกของการเปิดเทอมหนูยังไม่สามารถมาเรียน
 ได้เนื่องจากยังติดปัญหาของทางบ้านอยู่ พอจะมีใบลาออนไลน์ให้กรอก
 มั้ยคะ?",3  
ขอสอบถามหน่อยค่ะ เสื้อพละจะมีมาขายในวันไหนหรอคะ,3  
"ครูคะ หนูขอสอบถามเกี่ยวกับการย้ายโรงเรียนหน่อยค่ะ คือหนูจะย้ายไป
 เรียนที่ สกน หนูต้องเรื่องอะไรบื่นให้ที่โรงเรียนบ้างมั้ยคะ",4  
"ขอสอบถามหน่อยครับ สีกางเกงของโรงเรียนเขาเรียกว่าสีอะไรนะครับ 
 พอดีจะซื้อไปให้หลานแต่ไม่แน่ใจว่าเรียกสีนี้ว่าอะไร",3  
สระว่ายน้ำเปิดให้บริการวันไหนหรอครับ,5  
สอบถามหน่อยค่ะ หลักสูตรภาษาอังกฤษ สอนโดยครูต่างชาติหรือเปล่าคะ,1  
ค่าเทอม ป.1 พอจะประมาณราคาให้หน่อยได้ไหมครับ,4  
จะเดินทางมาโรงเรียนชลประทานได้อย่างไร,2  
ชุดลูกเสื้อที่ถูกระเบียบมันต้องเป็นสีกากีไม่ใช่เหรอครับ,3  
"ตอนนี้ที่สหกรณ์โรงเรียนมีขายไหมครับ หรือต้องไปซื้อจากข้างนอก 
 พอดีวันที่ซื้อชุดนักเรียนไม่ได้ซื้อเอาไว้ครับ เเล้วราคาท่าไหร่ครับ",3  
"ขอสอบถามเพิ่มเติมเกี่ยวการสมัครครูแนะแนว พอดีเคยเป็นครูแนะแนวคะ 
 มีใบประกอบ",4  
ตรวจสุขภาพนักเรียนที่โรงพยาบาลหรือ โรงเรียนคะ,4  
"เช็ครายชื่อ ดญ.ชุติกาญจน์ จิวระ ชั้นม.2 สอบวิชาวิทยาศาสตร์ แต่ไม่พบ
 รายชื่อน้องค่ะ ต้องทำอย่างไรค่ะ",1  
สมัครสอบแต่ไม่มีรายชื่อ ต้องทำอย่างไรคะ,4  
ปิดปลายภาควันที่เท่าไรคับ,4  
ฝนตกหนัก นำรถเข้ารับเด็กในร.ร. ได้ไหม,2  
สอบถามครับ ศิษย์เก่าสามารถเข้าไปภายในโรงเรียนได้มั้ยครับ,3  
ป.6 ค่าเทอม ประมาณเท่าไรค่ะ,4  
"จะมีการคืนค่าเทอมไหมคะ เหมือนจำได้ว่าเคยแจ้งไปในคอมเม้นว่าจะมี
 การคืนค่าเทอมปลายเทอมนี้",4  
"รบกวนสอบถามค่ะ เข้าไปจ่ายที่โรงเรียนได้ไหมคะ เพราะต้องการใบเสร็จ
 มาเบิกค่ะ",4  
ส่งเอกสารยืนยันไปแล้วยังไม่เห็นโอนคืนค่าเทอมมาเลยครับ,4  
ชำระเกินไปแล้วต้องทำอย่างไรคะ,4  
เกรดออกตอนไหนค่ะ เปิดเข้าไปไม่มีค่ะ,1  
ชำระค่าเทอมของแอปโรงเรียนอยู่ไหนครับ,5  
ถ้าของหายที่โรงเรียนนักเรียนต้องไปแจ้งของหายได้จากไหนคะ,3  
อยากทราบว่า รองเท้าพละต้องเป็นสีขาวเท่านั้นมั้ยครับ,3  
จะสอบถามเรื่องส่งน้องเข้าเรียน เตรียมอนุบาลอ่ะคะ,4  
EP ป.1ค่าเทอมเท่าไหรค่ะ,1  
ถ้าไปจ่ายค่าเทอมต้องไปจ่ายตึกไหนค่ะ  4  
"สามารถเข้าไปติดต่อเพื่อชำระค่าเทอมล่วงหน้าที่ห้องการเงินได้เลยใช่
 ไหมครับเปิดรับชำระได้เลยใช่นะครับ",4  
ชำระผ่านโมบายแบงค์กิ้งไปแล้วจะได้รับใบเสร็จอย่างไรคะ,4  
จ่ายบัตรเครดิตมีค่าธรรมเนียมไหมคะ,4  
ถ้าชำระผ่าน mobile banking จะได้รับใบเสร็จยังไงคะ,4  
เตรียมอนุบาลรับสมัครกี่ขวบคะ,4  
"สวัสดีค่ะ สมัครป.1 ไปแล้ว แต่ไม่สามารถโอนเงินค่าสมัครได้ค่ะ 
 ต้องทำอย่างไรคะ",4  
สมัครป1 ep ค่ะ ค่าเทอมเท่าไหร่ค่ะ,1  
อ.1ค่าเทอมเท่ารัยคะ,4  
เข้าไปสมัครอนุบาลนี่ไปได้ทุกวันหรือเว้นวันหยุดราชการคะ,4  
รบกวนแจ้งเอกสารที่ใช้สมัครด้วยค่ะ,4  
รูปสมัครเรียนน้องอนุบาล 1 ก็ต้องใส่ชุดนักเรียนถ่ายรูปเหรอคะ,4  
สมัครเตรียมเตรียมอนุบาลต้องเตรียมอะไรบ้างคะ,4  
ค่าเทอมเท่ารัยคะโปรแกรม EP,1  
ค่าเทอม ม.4 สายวิทย์ คณิต เทคโนโลยี ต้องจ่ายอะไรเท่าไหร่บ้างคะ,4  
ITP ม.4 ค่าเทอมเท่าไหร่คะ และต้องเตรียมอะไรไปบ้างคะ,1  
"ค่าเทอม ม.4 สายวิทย์ คณิต เทคโนโลยี เท่าไหร่ครับ 
 และต้องเตรียมอะไรไปบ้างครับ",4  
มอบตัวต้องไปตรงไหนของ รร.คะ,4  
เอกสารการเขียนคําร้องมีอะไรบ้างคะ,4  
เอกสารการเขียนคําร้องต้องใช้รูปถ่ายขนาดเท่าไหร่ครับ,4  
สอบถามหน่อยค่ะ ECP ค่าเทอมเท่าไหร่คะ,4  
ซื้อเครื่องแบบนักเรียน กับหนังสือเรียนได้จากที่ไหนคะ,2  
กรอกรายละเอียดใบมอบตัวได้จากที่ไหนครับ,4  
การทดสอบวัดระดับภาษาอังกฤษ CEFR มีค่าสมัครสอบไหมคะ,1  
ชุดนักเรียน วันเสาร์-อาทิตย์ซื้อได้มั้ยครับ,2  
ถ้าจะสั่งตัดชุด รด ติดต่อได้ที่ไหนคะ,2  
เดือนหน้าจะมีการเปิดสอนว่ายน้ำแล้วใช่ไหมคะ,5  
ท้องฟ้าจำลองเปิดอีกทีเมื่อไหร่เหรอครับ,3  
มีรีวิวโครงการ ITP ไหมค่ะ,1  
สอบถามเรื่องเรียนว่ายน้ำหน่อยค่ะ,5  
"รบกวนสอบถามค่ะ ป. English program กับ Gifted English 
 ต่างกันอย่างไรคะ",1  
ชุด นร. มีจำหน่ายไหมคะ ถ้ามีจำหน่ายวันไหน,2  
รับสมัครถึงวันไหนค่ะ ยังสมัครทันมั้ย,1  
อยากทราบค่าเทอม ม.3 ม.4 เท่าใหร่คะ,1  
อยากรู้ว่าม1จะขอเข้าสมัครได้ใหม่คะ,1  
เสียค่าสมัครสอบเท่าไหร่ค่ะ,1  
ใบสมัครใช้อะไรบ้างคะ,1  
ขอเกรดหน่อยครับ,1  
อยากทราบผลการเรียนของลูก,1  
ผลการเรียน,1  
ผลการเรียนประถม,1  
ผลการเรียนม.ต้น,1  
ผลการเรียนม.ปลาย,1  
เกรดออกเมื่อไหร่ครับ,1  
เมื่อไหร่เกรดจะออกคะ,1  
สามารถดูเกรดได้ที่ไหน,1  
ทำไมถึงผลการเรียนของลูกออกล่าช้าครับ,1  
เกรดออกหรือยัง,1  
เกรดออกเมื่อไหร่,1  
ขอดูเกรด,1  
ขอดูผลการเรียนของลูก,1  
gpa ของลูกเป็นเท่าไหร่,1  
gpax ตอนนี้เป็นเท่าไหร่,1  
วิชาภาษาไทยได้เกรดอะไร,1  
วิชาคณิตศาสตร์ได้เกรดเท่าไหร่,1  
วิชาภาษาอังกฤษเกรดออกแล้วหรือยัง,1  
เมื่อไหร่เกรดวิชาสังคมศึกษาจะออก,1  
วิชาเลขเกรดจะออกเมื่อไหร่,1  
อนุบาล 3 เปิดรับไหมคะ,1  
อนุบาล 2 เปิดรับไหมคะ,1  
อนุบาล 1 เปิดรับมั้ยคะ,1  
ซื้อใบสมัคร อ.1 ได้ที่ไหนคะ,1  
สมัคร อ.1 ได้ที่ไหนครับ,1  
ไปซื้อใบสมัครอนุบาล 1 ได้วันไหนบ้างคะ ไปช่วง 15:00 โมงได้ไหมคะ,1  
จะติดต่ครูออนุบาล 3 ได้ยังไงคะ,1  
ค่าเทอม อ.1 เท่าไหร่ครับ,1  
อ.2 เปิดรับมั้ยคับ,1  
น้องเกิด 16 พค 60 สามารถสมัคร อ.1ได้ไหมคะ,1  
ค่าสมัคร อ.1 เท่าไหร่คะ,1  
ขออนุญาตสอบถามครับ มอบตัวอนุบาล 1 ที่ไหนหรอครับ,1  
รูปถ่ายในการสมัคร อ.1 ต้องเป็นขนาดกี่นิ้วคะ,1  
ประกาศผลการคัดเลือกอนุบาล 1 ยังไงหรอคะ,1  
อยากสมัครเรียนเตรียมอนุบาลต้องสมัครยังไงคะ,1  
ค่าเทอมเตรียมอนุบาลเท่าไหร่ครับ,1  
น้องเรียนอนุบาล 2 ที่โรงเรียนรัฐบาลมาสามารถสมัครแผนการเรียน ECP ได้ไหมครับ,1  
ค่าสมัครอนุบาล 1 เท่าไหร่คะ,1  
ค่าเทอม อ.1 เท่าไหร่คับ,1  
