,txt,label
17,"ในห้องน้ำควรมีทิชชู่ ยิ่งเด็ก ผญ สำคัญเรื่องความสะอาด และเด็กบางคน
เห็นห้องน้ำสกปรกก็ไม่กล้าเข้าห้องน้ำ อั้นไว้ทั้งวัน ไม่ดีค่ะ",0
18,"ในห้องน้ำควรมีทิชชู่ ยิ่งเด็ก ผญ สำคัญเรื่องความสะอาด และเด็กบางคน
เห็นห้องน้ำสกปรกก็ไม่กล้าเข้าห้องน้ำ อั้นไว้ทั้งวัน ไม่ดีค่ะ",0
19,"ในห้องน้ำควรมีทิชชู่ ยิ่งเด็ก ผญ สำคัญเรื่องความสะอาด และเด็กบางคน
เห็นห้องน้ำสกปรกก็ไม่กล้าเข้าห้องน้ำ อั้นไว้ทั้งวัน ไม่ดีค่ะ",0
20,"เด็กนักเรียนหญิงจำเป็นต้องมีคู่ละ 20 บาท 2-3 วันหลุดซื้อบ่อย ๆ ก็แย่
เหมือนกัน พิจารณาแก้ไขด้วย",0
21,"เด็กนักเรียนหญิงจำเป็นต้องมีคู่ละ 20 บาท 2-3 วันหลุดซื้อบ่อย ๆ ก็แย่
เหมือนกัน พิจารณาแก้ไขด้วย",0
22,"เด็กนักเรียนหญิงจำเป็นต้องมีคู่ละ 20 บาท 2-3 วันหลุดซื้อบ่อย ๆ ก็แย่
เหมือนกัน พิจารณาแก้ไขด้วย",0
23,"เรียนปกติแล้วทำไมให้รถเข้าออกได้ปกติ ทุกคนมีความป้องกันตัวเองอยู่
แล้ว แบบนี้รถก็ติดแย่สินักเรียนไม่ใช่หลักร้อยนะคะนี่นักเรียนหลายพัน",0
24,"เปิดเรียนปกติครบทุกระดับชั้นแต่ถ้าทางโรงเรียนไม่ให้ผู้ปกครองนำรถ
เข้าโรงเรียนไปส่งเด็กๆมันคงจะแย่สำหรับผู้ปกครองหลายๆคนนะค่ะ 
รบกวน รร. ลองลงมาดูลานจอดรถใหม่ตอนเช้าตอนเย็นบ้างนะค่ะว่ารถ
มันติดแค่ไหน",0
25,"เปิดเรียนปกติครบทุกระดับชั้นแต่ถ้าทางโรงเรียนไม่ให้ผู้ปกครองนำรถ
เข้าโรงเรียนไปส่งเด็กๆมันคงจะแย่สำหรับผู้ปกครองหลายๆคนนะค่ะ 
รบกวนรร. ลองลงมาดูลานจอดรถใหม่ตอนเช้าตอนเย็นบ้างนะค่ะว่ารถ
มันติดแค่ไหน",0
26,"ที่จอดรถไม่น่าจะพอนะคะ​ ควรพิจารณาเรื่องการจอดรถอีกที​ ​เพราะถ้าเปิด
เต็มรูปแบบรถคงติดมาก",0
27,"ที่จอดรถไม่น่าจะพอนะคะ​ ควรพิจารณาเรื่องการจอดรถอีกที​ ​เพราะถ้าเปิด
เต็มรูปแบบรถคงติดมาก",0
28,"ที่จอดรถไม่น่าจะพอนะคะ​ ควรพิจารณาเรื่องการจอดรถอีกที​ ​เพราะถ้าเปิด
เต็มรูปแบบรถคงติดมาก",0
29,"ช่วยพิจารณาการขับรถไปเทียบส่งหน้าตึก แบบไม่จอด ด้วยค่ะ ตอนนี้แค่
เรียนวันเว้นวันก็ไม่ทันแล้วที่จอดไม่พอ เด็กอนุบาลยังต้องใช้เวลาเดินเข้า
ไปส่งอีก เปิดมา 2 เดือนแล้วที่จอดรถก็ยังสร้างไม่เสร็จเลย 
ช่วยพิจารณาด้วยนะคะ",0
30,"เรื่องรถรับส่งนักเรียนเด็กนักเรียนทุกคนอยากไปโรงเรียนเช้าแต่รถนักเรียน
แน่นมากจนไม่มีที่นั่งเห็นลูกหลานไปนั่งตรงที่ไม่ไช่ที่นั่งเด็กในรถประมาณ 
20 คนหรือมากกว่านั้นมีความคิดเห็นว่าตอนเช้าสายที่มีเด็กมากหน้าจะมี
รถ 2 คัน เสียเงินก็เสียเท่ากันแต่ต้องไปนั่งตรงที่ไม่ไช่ที่นั่งแล้วมันก็แน่น
มากสังเกตุมาหลายอาทิศ แล้วควรต้องแก้ไขขอบคุณมากค่ะหวังว่าคงได้
รับความกรุณาพิจารณาด้วย",0
31,"เรื่องรถรับส่งนักเรียนเด็กนักเรียนทุกคนอยากไปโรงเรียนเช้าแต่รถนักเรียน
แน่นมากจนไม่มีที่นั่งเห็นลูกหลานไปนั่งตรงที่ไม่ไช่ที่นั่งเด็กในรถประมาณ 
20 คนหรือมากกว่านั้นมีความคิดเห็นว่าตอนเช้าสายที่มีเด็กมากหน้าจะมี
รถ 2 คัน เสียเงินก็เสียเท่ากันแต่ต้องไปนั่งตรงที่ไม่ไช่ที่นั่งแล้วมันก็แน่น
มากสังเกตุมาหลายอาทิศ แล้วควรต้องแก้ไขขอบคุณมากค่ะหวังว่าคงได้
รับความกรุณาพิจารณาด้วย",0
32,"เรื่องรถรับส่งนักเรียนเด็กนักเรียนทุกคนอยากไปโรงเรียนเช้าแต่รถนักเรียน
แน่นมากจนไม่มีที่นั่งเห็นลูกหลานไปนั่งตรงที่ไม่ไช่ที่นั่งเด็กในรถประมาณ 
20 คนหรือมากกว่านั้นมีความคิดเห็นว่าตอนเช้าสายที่มีเด็กมากหน้าจะมี
รถ 2 คัน เสียเงินก็เสียเท่ากันแต่ต้องไปนั่งตรงที่ไม่ไช่ที่นั่งแล้วมันก็แน่น
มากสังเกตุมาหลายอาทิศ แล้วควรต้องแก้ไขขอบคุณมากค่ะหวังว่าคงได้
รับความกรุณาพิจารณาด้วย",0
33,"เปิดประตู 3 เพื่ออะไร ไม่ได้ช่วยอะไรเลย โรงเรียนจะต้องเปิด ประตู 4 และ 
ประตู 5 เพื่อช่วยระบายรถ ที่ลานจอดรถ ในช่วงเช้า 6.00 - 8.30 น. และ 
ช่วงบ่าย 15.30 - 18.00 น. ทุกวันนี้ประชาชนที่สัญจรผ่านไป-มา หน้า
โรงเรียนต่างก็ไม่พอใจในการบริหารจัดการด้านการจราจรของโรงเรียน
เป็นอย่างมากแล้วค่ะ",0
34,"ไม่เข้าใจรรคืนเงินทีไรคนบ่นกันจัง ลูกชายคนโตเรียนโครงการพิเศษของ
รร รัฐบาล ค่าเทอมก็เกือบสองหมื่นคืนเงินมาแค่ 1380 ไม่เห็นมี ผปค
โพสบ่นในเพจรร แต่นี่ รร เอกชนขนาดภาคปกติยังคืนเยอะกว่ารรรัฐบาล
อีก คนบ่นกันจัง😞",0
35,"อยากให้จัดสรรเรื่องที่จอดรถให้เป็นรูปแบบที่ชัดเจน และเพียงพอด้วยครับ​
ตอนเลิกเรียน​ ลำบากมากครับ​ ไม่มีที่จอดก็วนไป​เรื่อยๆ ลูกก็รอไปจนกลับ
คนสุดท้ายของห้อง​ เกรงใจคุณครูที่รอเราคนเดียว​",0
36,"อยากให้จัดสรรเรื่องที่จอดรถให้เป็นรูปแบบที่ชัดเจน และเพียงพอด้วยครับ​
ตอนเลิกเรียน​ ลำบากมากครับ​ ไม่มีที่จอดก็วนไป​เรื่อยๆ ลูกก็รอไปจนกลับ
คนสุดท้ายของห้อง​ เกรงใจคุณครูที่รอเราคนเดียว​",0
37,"แต่ของลูกเป็นการตักรอบแรกนะคะ ถ้ามันไม่พอแสดงว่าไม่มีใครได้รอบ
สองแน่นอน ช่วยพิจารณาหน่อยนะคะเพราะว่าเป็นการตักรอบแรกค่ะ",0
38,"จัดเวลาการเรียนการสอนน้อยเร่งรัดทุกเรื่องผลการเรียนจะเป็นอย่างไรไม่รู้
เอาแต่จะตัดระบบให้เป็นปัจุบันในการทำงานของหน่อยงานตนเอง",0
39,"กระตุก กระตุก จนนิ่งไปเลยครับ โรงเรียนควรพิจารณาเรื่องของ bandwidth 
ด้วยนะครับ นักเรียนหลายพันคนเข้าใช้ระบบพร้อมๆ กัน แบบนี้ขอเป็นไฟล์
เอกสาร หรือ vdo แบบ offline ให้ลูกเรียนน่าจะดีกว่าครับ แย่มาก",0
40,"กระตุก กระตุก จนนิ่งไปเลยครับ โรงเรียนควรพิจารณาเรื่องของ bandwidth 
ด้วยนะครับ นักเรียนหลายพันคนเข้าใช้ระบบพร้อมๆ กัน แบบนี้ขอเป็นไฟล์
เอกสาร หรือ vdo แบบ offline ให้ลูกเรียนน่าจะดีกว่าครับ แย่มาก",0
41,"กระตุก กระตุก จนนิ่งไปเลยครับ โรงเรียนควรพิจารณาเรื่องของ bandwidth 
ด้วยนะครับ นักเรียนหลายพันคนเข้าใช้ระบบพร้อมๆ กัน แบบนี้ขอเป็นไฟล์
เอกสาร หรือ vdo แบบ offline ให้ลูกเรียนน่าจะดีกว่าครับ แย่มาก",0
42,"กระตุก กระตุก จนนิ่งไปเลยครับ โรงเรียนควรพิจารณาเรื่องของ bandwidth 
ด้วยนะครับ นักเรียนหลายพันคนเข้าใช้ระบบพร้อมๆ กัน แบบนี้ขอเป็นไฟล์
เอกสาร หรือ vdo แบบ offline ให้ลูกเรียนน่าจะดีกว่าครับ แย่มาก",0
43,"รบกวนคุณครูปรับปรุงเรื่องการออกเสียง ร,ล ให้ชัดเจนด้วยนะคะ !
โดยเฉพาะวิชาภาษาไทย ขอบคุณค่ะ ",0
44,"ระดับ ป 4 วันนี้ 5/01/64 มีคลิปการเรียนการสอน เพื่ม กระตุก เหมือนเดิม 
คลิปเมื่อวาน (เด็กๆยังเรียนไม่ได้เลยเพราะกระตุกดูไม่ได้) พอไปค้นของเมื่อ
วานของเก่าของใหม่นี่ก็มั่วไปหมด ไม่พร้อมก็คือไม่พร้อมคะ ระดับ มัธยมศึก
ษาดูได้ ประถมดูไม่ได้ ชำระเงินเหมือนกันนะคะ ให้คุณนิตยา รับทราบปัญหา
บ้างนะคะ ไม่มีการปรับปรุงเลย ห่วยมากๆคะ",0
45,"ระดับ ป 4 วันนี้ 5/01/64 มีคลิปการเรียนการสอน เพื่ม กระตุก เหมือนเดิม 
คลิปเมื่อวาน (เด็กๆยังเรียนไม่ได้เลยเพราะกระตุกดูไม่ได้) พอไปค้นของเมื่อ
วานของเก่าของใหม่นี่ก็มั่วไปหมด ไม่พร้อมก็คือไม่พร้อมคะ ระดับ มัธยมศึก
ษาดูได้ ประถมดูไม่ได้ ชำระเงินเหมือนกันนะคะ ให้คุณนิตยา รับทราบปัญหา
บ้างนะคะ ไม่มีการปรับปรุงเลย ห่วยมากๆคะ",0
46,"ระดับ ป 4 วันนี้ 5/01/64 มีคลิปการเรียนการสอน เพื่ม กระตุก เหมือนเดิม 
คลิปเมื่อวาน (เด็กๆยังเรียนไม่ได้เลยเพราะกระตุกดูไม่ได้) พอไปค้นของเมื่อ
วานของเก่าของใหม่นี่ก็มั่วไปหมด ไม่พร้อมก็คือไม่พร้อมคะ ระดับ มัธยมศึก
ษาดูได้ ประถมดูไม่ได้ ชำระเงินเหมือนกันนะคะ ให้คุณนิตยา รับทราบปัญหา
บ้างนะคะ ไม่มีการปรับปรุงเลย ห่วยมากๆคะ",0
47,"โปรดพิจารณา สำหรับแผนก ep บางวิชาที่เรียนเป็นภาษาอังกฤษ ซึ่งมีหลาย
วิชาพอสมควร น่าจะสอนแบบออนไลน์สดนะคะ เพราะถ้าเด็กไม่เข้าใจ 
ยังสามารถสอบถาม T. กับTA. ประจำวิชาได้ค่ะ ถ้าเป็นแบบนี้ไม่โอเคนะคะ",0
48,"โปรดพิจารณา สำหรับแผนก ep บางวิชาที่เรียนเป็นภาษาอังกฤษ ซึ่งมีหลาย
วิชาพอสมควร น่าจะสอนแบบออนไลน์สดนะคะ เพราะถ้าเด็กไม่เข้าใจ 
ยังสามารถสอบถาม T. กับTA. ประจำวิชาได้ค่ะ ถ้าเป็นแบบนี้ไม่โอเคนะคะ",0
49,"โปรดพิจารณา สำหรับแผนก ep บางวิชาที่เรียนเป็นภาษาอังกฤษ ซึ่งมีหลาย
วิชาพอสมควร น่าจะสอนแบบออนไลน์สดนะคะ เพราะถ้าเด็กไม่เข้าใจ 
ยังสามารถสอบถาม T. กับTA. ประจำวิชาได้ค่ะ ถ้าเป็นแบบนี้ไม่โอเคนะคะ",0
50,"โปรดพิจารณา สำหรับแผนก ep บางวิชาที่เรียนเป็นภาษาอังกฤษ ซึ่งมีหลาย
วิชาพอสมควร น่าจะสอนแบบออนไลน์สดนะคะ เพราะถ้าเด็กไม่เข้าใจ 
ยังสามารถสอบถาม T. กับTA. ประจำวิชาได้ค่ะ ถ้าเป็นแบบนี้ไม่โอเคนะคะ",0
51,"วันนี้ก็ยังกระตุกอยู่เลยครับ..เด็กเรียนไม่รู้เรื่องเลย มาๆ หยุดๆ..รบกวนช่วย
แก้ไขโดยด่วนด้วยครับ..เมื่อวานนี้ของ ป.4 มี 13 วิชา เรียนจนจบได้แค่ 3
วิชาเอง ในช่วงครึ่งวัน..วันนี้เหลือแค่ 4 วิชา ยังกระตุกเหมือนเดิม..",0
52,"สรุปเลยนะคะ การเรียนออนไลน์ระดับประถม ไม่มีการปรับปรุงให้ดีขึ้น เช่น 
เสียงจากคลิป ฟังไม่รู้เรื่อง อุปกรณ์ รร ให้คุณครูลงทุนกันเองหรอคะ เสียง
พูดได้ยินดับๆหายๆ รร ควรลงทุนอุปกรณ์ให้คุณครูนะคะ เช่น ไมค์ในการ
อัดคลิป เรื่องภาพก็อีกเรื่องนึง แต่เรื่องเสียงนี่สำคัญที่สุด เพราะ นร. ต้อง
ฟังที่คุณครูอธิบาย กลายเป็นว่า ทำงานซ้ำซ้อน ขอให้ รร ลงทุนอุปกรณ์
ให้ครูด้วยนะคะ",0
53,"สรุปเลยนะคะ การเรียนออนไลน์ระดับประถม ไม่มีการปรับปรุงให้ดีขึ้น เช่น 
เสียงจากคลิป ฟังไม่รู้เรื่อง อุปกรณ์ รร ให้คุณครูลงทุนกันเองหรอคะ เสียง
พูดได้ยินดับๆหายๆ รร ควรลงทุนอุปกรณ์ให้คุณครูนะคะ เช่น ไมค์ในการ
อัดคลิป เรื่องภาพก็อีกเรื่องนึง แต่เรื่องเสียงนี่สำคัญที่สุด เพราะ นร. ต้อง
ฟังที่คุณครูอธิบาย กลายเป็นว่า ทำงานซ้ำซ้อน ขอให้ รร ลงทุนอุปกรณ์
ให้ครูด้วยนะคะ",0
54,"คลิปค้างและกระตุกมากค่ะเป็นเกือบทุกวิชาค่ะ ตั้งแต่เช้าจนถึงตอนนี้ค่ะ 
ดูไม่รู้เรื่องเลยค่ะ",0
55,"คลิปค้างและกระตุกมากค่ะเป็นเกือบทุกวิชาค่ะ ตั้งแต่เช้าจนถึงตอนนี้ค่ะ 
ดูไม่รู้เรื่องเลยค่ะ",0
56,vdo กระตุกมากโหลดช้ามากดูแล้วสะดุดมาก ไม่รู้เรื่องเลยในการดูแต่ละวิชา,0
57,vdo กระตุกมากโหลดช้ามากดูแล้วสะดุดมาก ไม่รู้เรื่องเลยในการดูแต่ละวิชา,0
58,เว็ปโรงเรียนโหลดนานมาก พอเปิดได้คลิปกระตุกดูไม่รู้เรื่องเลยค่ะ,0
59,เว็ปโรงเรียนโหลดนานมาก พอเปิดได้คลิปกระตุกดูไม่รู้เรื่องเลยค่ะ,0
60,"ควรพิจารณาเรื่องการเรียนผ่าน zoom ด้วยคะ โรงเรียนต่างจังหวัดเค้ายัง
เรียนผ่านโปรแกรมนี้เลยคะ อย่างน้อยก็มีการตอบโต้กับนักเรียน ไม่ใช่ให้เด็ก
นั่งฟังอย่างเดียว ไม่ใช่ครูทุกคนที่จะสอนให้น่าสนใจหรือน่านั่งฟังเลยคะ เทอม
ที่แล้วแม่นั่งฟังกับลูกยังน่าเบื่อเลยคะ รบกวนพิจารณาคะ",0
61,"ควรพิจารณาเรื่องการเรียนผ่าน zoom ด้วยคะ โรงเรียนต่างจังหวัดเค้ายัง
เรียนผ่านโปรแกรมนี้เลยคะ อย่างน้อยก็มีการตอบโต้กับนักเรียน ไม่ใช่ให้เด็ก
นั่งฟังอย่างเดียว ไม่ใช่ครูทุกคนที่จะสอนให้น่าสนใจหรือน่านั่งฟังเลยคะ เทอม
ที่แล้วแม่นั่งฟังกับลูกยังน่าเบื่อเลยคะ รบกวนพิจารณาคะ",0
62,"ควรพิจารณาเรื่องการเรียนผ่าน zoom ด้วยคะ โรงเรียนต่างจังหวัดเค้ายัง
เรียนผ่านโปรแกรมนี้เลยคะ อย่างน้อยก็มีการตอบโต้กับนักเรียน ไม่ใช่ให้เด็ก
นั่งฟังอย่างเดียว ไม่ใช่ครูทุกคนที่จะสอนให้น่าสนใจหรือน่านั่งฟังเลยคะ เทอม
ที่แล้วแม่นั่งฟังกับลูกยังน่าเบื่อเลยคะ รบกวนพิจารณาคะ",0
63,"ทาง รร ควรซื้อแอพ Zoom premium ให้ครูด้วยค่ะ เวลาแค่ 40 นาทีจากแอพ
zoom ฟรี มันไม่พอ ในกรณีสอนสดกว่าจะรอให้นักเรียนมาครบกินเวลาไปกว่า 10 
นาทีเลย เผื่อเวลาเน็ตหลุดด้วย เสียเวลามากเรียนก็ไม่ต่อเนื่อง ไม่เต็มที่ ยิ่งเด็ก 
ม.ปลายนี่ไม่ต้องพูดถึงเลย เด็กๆบ่นกันเยอะมากค่ะ",0
64,"ทาง รร ควรซื้อแอพ Zoom premium ให้ครูด้วยค่ะ เวลาแค่ 40 นาทีจากแอพ
zoom ฟรี มันไม่พอ ในกรณีสอนสดกว่าจะรอให้นักเรียนมาครบกินเวลาไปกว่า 10 
นาทีเลย เผื่อเวลาเน็ตหลุดด้วย เสียเวลามากเรียนก็ไม่ต่อเนื่อง ไม่เต็มที่ ยิ่งเด็ก 
ม.ปลายนี่ไม่ต้องพูดถึงเลย เด็กๆบ่นกันเยอะมากค่ะ",0
65,"ทาง รร ควรซื้อแอพ Zoom premium ให้ครูด้วยค่ะ เวลาแค่ 40 นาทีจากแอพ
zoom ฟรี มันไม่พอ ในกรณีสอนสดกว่าจะรอให้นักเรียนมาครบกินเวลาไปกว่า 10 
นาทีเลย เผื่อเวลาเน็ตหลุดด้วย เสียเวลามากเรียนก็ไม่ต่อเนื่อง ไม่เต็มที่ ยิ่งเด็ก 
ม.ปลายนี่ไม่ต้องพูดถึงเลย เด็กๆบ่นกันเยอะมากค่ะ",0
66,"ขอโทษนะคะกดเข้าไปในวีดีโอเปิดไม่ได้ค่ะเปิดติดบ้างไม่ติดบ้างค่ะ ช่วยแก้ไข
หน่อยค่ะ เป็นแบบนี้บ่อยๆไม่ไหวนะคะ",0
67,"ช่วยแก้ไขหน่อยนะคะ เปิดไม่ได้เลยคะ ลองใช้ทั้ง WiFi และ 5G ก็เปิดไม่ได้คะ 
เปิดติดบ้างไม่ติดบ้าง เซ็งคะ",0
68,"ช่วยแก้ไขหน่อยนะคะ เปิดไม่ได้เลยคะ ลองใช้ทั้ง WiFi และ 5G ก็เปิดไม่ได้คะ 
เปิดติดบ้างไม่ติดบ้าง เซ็งคะ",0
69,"จัดซัมเมอรไปเลยคะ ดิฉันไม่ให้ลูกไปเรียนแน่นอน ถือว่าทำบุญให้ รร. คะอันตราย
ขนาดนี้ ยังคิดจะจัดสอนซัมเมอร์อีก โควิดวันนี้ คนติดเพิ่มอีกเป็นพันคน เด็กๆติดมา 
ถึงหายก็ปอดหายไปครึ่งนึง อนาคตสุขภาพเด็กคงแย่",0
70,"จัดซัมเมอรไปเลยคะ ดิฉันไม่ให้ลูกไปเรียนแน่นอน ถือว่าทำบุญให้ รร. คะอันตราย
ขนาดนี้ ยังคิดจะจัดสอนซัมเมอร์อีก โควิดวันนี้ คนติดเพิ่มอีกเป็นพันคน เด็กๆติดมา 
ถึงหายก็ปอดหายไปครึ่งนึง อนาคตสุขภาพเด็กคงแย่",0
71,"เรื่องวันซื้อ - ขายอุปกรณ์การเรียน คิดว่าเสี่ยงเกินไปคะ เพราะเป็นการรวมกลุ่มคน
จำนวนมาก",0
72,"ช่วยดูด้วยค่ะวาาเด็ก ม.6 รุ่นนี้เดือดร้อนมากเเค่ไหนพลาดโอกาสหลายอย่างยัง
ต้องพลาดที่เรียนอีก",0
73,"ทางโรงเรียน​ จะต้องเร่งแก้ไขให้นะคะ​ ไม่ใช่ให้เด็กนักเรียน​หรือ​ ผู้ปกครอง​ จะต้อง
เป็นคนประสานเองนะคะ​ เพราะได้แจ้งรายละเอียด​ และ​ ปัญหา​ ไว้ให้พิจารณา
หมดแล้ว​ ***ทางโรงเรียนควรจะเร่งหาทางแก้ไขให้ด่วนนะคะ***",0
74,"ทางโรงเรียน​ จะต้องเร่งแก้ไขให้นะคะ​ ไม่ใช่ให้เด็กนักเรียน​หรือ​ ผู้ปกครอง​ จะต้อง
เป็นคนประสานเองนะคะ​ เพราะได้แจ้งรายละเอียด​ และ​ ปัญหา​ ไว้ให้พิจารณา
หมดแล้ว​ ***ทางโรงเรียนควรจะเร่งหาทางแก้ไขให้ด่วนนะคะ***",0
75,ห้องน้ำนักเรียนอาคาร 8 อับชื้นและสกปรกมาก รบกวนตรวจด้วยนะคะ,0
76,ห้องน้ำนักเรียนอาคาร 8 อับชื้นและสกปรกมาก รบกวนตรวจด้วยนะคะ,0
77,รร. ควรพิจารณาเรื่องการขับรถวนเข้าส่ง นร. ใน รร.ได้แล้วนะคะ...,0
78,รร. ควรพิจารณาเรื่องการขับรถวนเข้าส่ง นร. ใน รร.ได้แล้วนะคะ...,0
79,ให้ไก่มาน้อยมากเลยคะ อยากให้ดูแลเรื่องปริมาณอาหารให้ด้วยค่ะ,0
80,กระตุกมากค่หยุดๆะ เล่นๆ ตลอดเลยค่ะ  เสียอารมณ์ค่ะ,0
81,กระตุกมากค่หยุดๆะ เล่นๆ ตลอดเลยค่ะ  เสียอารมณ์ค่ะ,0
82,กระตุก ค้าง คุณภาพเสียงไม่ดี ไม่ค่อยได้ยิน ห่วยมาก,0
83,กระตุก ค้าง คุณภาพเสียงไม่ดี ไม่ค่อยได้ยิน ห่วยมาก,0
84,กระตุกบ่อย​ file ค้างมากๆๆเลยค่ะ​ 😅😅 เด็ก​เดินหนีไปแล้วค่ะ,0
85,กระตุกทุกคลิปเลย เรียนไม่ได้เลยค่ะ แย่ที่สุด,0
86,กระตุกทุกคลิปเลย เรียนไม่ได้เลยค่ะ แย่ที่สุด,0
87,กระตุกบ่อยมากค่ะ โหลดๆหยุดๆ 😞,0
88,เข้าดูไม่ได้เลยครับ ทั้งกระตุกทั้งค้างครับ 😞,0
89,กระตุกๆ ค้างๆ กว่าจะผ่านไปแต่ละวิชาใช้เวลานานมาก แย่มาก,0
90,กระตุกๆ ค้างๆ กว่าจะผ่านไปแต่ละวิชาใช้เวลานานมาก แย่มาก,0
91,กระตุกสะดุดตลอด ทุกวิชา ไม่สามารถเรียนได้เลยแบบนี้เด็กก็แย่สิคับ,0
92,กระตุกสะดุดตลอด ทุกวิชา ไม่สามารถเรียนได้เลยแบบนี้เด็กก็แย่สิคับ,0
93,clip กระตุก ช่วยแก้ไข หน่อยค่ะ!!,0
94,ป.2 ป.4 เปิดเข้าดู VDO ไม่ได้เลยค่ะ ไม่ไหวนะคะแบบนี้,0
95,ยังกระตุกอยู่เลยค่ะเรียนไม่ได้เลยค่ะ เสียเวลามากค่ะ,0
96,ยังกระตุกอยู่เลยค่ะเรียนไม่ได้เลยค่ะ เสียเวลามากค่ะ,0
97,กระตุกทุกlink. ห่วยคะ,0
98,กระตุกทุกlink. ห่วยคะ,0
99,โรงเรียนดำเนินการช้ามากเลยค่ะ แบบนี้ก็ไม่ไหวนะคะ,0
100,ควบคุมการผลิตให้ดี เพิ่มโปรตีนด้วยนะครับ ไม่ใช่มีแต่ผักกับผลไม้ ห่วยมากก,0
101,ได้รับข้อมูลแล้ว กรุณานำไปพิจารณาด้วยนะครับไม่ใช่ขอบคุณอย่างเดียว,0
102,เมนูก๋วยเตี๋ยวน้องผมบ่นว่ากินแต่หมี่ๆอย่างเดียว 😅,0
103,ช่วยไปพิจารณาให้เข้ากับเหตุการณ์ที่ต้องเจอ คาดว่าน่าคงอีกยาวค่ะ,0
104,วันนี้ก็มีน้ำซุปฟักลูกบอกว่าจืดอย่างกะน้ำเปล่าเลยค่ะ ปรับปรุงด้วยค่ะ 😂😂😂,0
105,กับข้าวของอิสลามลูก และ เพื่อนๆบอกว่าเผ็ดมากค่ะ รบกวนช่วยแก้ไขด้วยนะคะ,0
106,ติดป้ายลดความเร็วเพิ่มเติมน่าจะดีนะคะ ฝุ่นปูนลอยเข้าหน้าต่าง เด็ก ๆ นั่งอยู่เพียบ,0
107,ติดป้ายลดความเร็วเพิ่มเติมน่าจะดีนะคะ ฝุ่นปูนลอยเข้าหน้าต่าง เด็ก ๆ นั่งอยู่เพียบ,0
108,"เส้นใหญ่ กะทิ เป็นสิ่งที่เสียง่าย ควรหลีกเลี่ยง มาทำอาหารให้เด็กๆ วันนี้เด็ก 
ปวดท้อง ท้องเสีย หลายคนคะ",0
109,"เส้นใหญ่ กะทิ เป็นสิ่งที่เสียง่าย ควรหลีกเลี่ยง มาทำอาหารให้เด็กๆ วันนี้เด็ก 
ปวดท้อง ท้องเสีย หลายคนคะ",0
110,เด็กๆ บอกข้าวแข็งค่ะ เมื่อวาน,0
111,เด็กบางคนเห็นห้องน้ำสกปรกก็ไม่กล้าเข้าห้องน้ำ อั้นไว้ทั้งวัน ไม่ดีค่ะ,0
